Municipality name [ CITY NAME],Region name [REGION NAME],Department name [ DEPT ]
Nom de la commune,Nom de la région,Nom département
L' Abergement-Clémenciat,Auvergne-Rhône-Alpes,Ain
L' Abergement-de-Varey,Auvergne-Rhône-Alpes,Ain
Ambérieu-en-Bugey,Auvergne-Rhône-Alpes,Ain
Ambérieux-en-Dombes,Auvergne-Rhône-Alpes,Ain
Ambléon,Auvergne-Rhône-Alpes,Ain
Ambronay,Auvergne-Rhône-Alpes,Ain
Ambutrix,Auvergne-Rhône-Alpes,Ain
Andert-et-Condon,Auvergne-Rhône-Alpes,Ain
Anglefort,Auvergne-Rhône-Alpes,Ain
Apremont,Auvergne-Rhône-Alpes,Ain
Aranc,Auvergne-Rhône-Alpes,Ain
Arandas,Auvergne-Rhône-Alpes,Ain
Arbent,Auvergne-Rhône-Alpes,Ain
Arbigny,Auvergne-Rhône-Alpes,Ain
Arboys en Bugey,Auvergne-Rhône-Alpes,Ain
Argis,Auvergne-Rhône-Alpes,Ain
Armix,Auvergne-Rhône-Alpes,Ain
Ars-sur-Formans,Auvergne-Rhône-Alpes,Ain
Artemare,Auvergne-Rhône-Alpes,Ain
Asnières-sur-Saône,Auvergne-Rhône-Alpes,Ain
Attignat,Auvergne-Rhône-Alpes,Ain
Bâgé-la-Ville,Auvergne-Rhône-Alpes,Ain
Bâgé-le-Châtel,Auvergne-Rhône-Alpes,Ain
Balan,Auvergne-Rhône-Alpes,Ain
Baneins,Auvergne-Rhône-Alpes,Ain
Béard-Géovreissiat,Auvergne-Rhône-Alpes,Ain
Beaupont,Auvergne-Rhône-Alpes,Ain
Beauregard,Auvergne-Rhône-Alpes,Ain
Béligneux,Auvergne-Rhône-Alpes,Ain
Bellegarde-sur-Valserine,Auvergne-Rhône-Alpes,Ain
Belley,Auvergne-Rhône-Alpes,Ain
Belleydoux,Auvergne-Rhône-Alpes,Ain
Bellignat,Auvergne-Rhône-Alpes,Ain
Belmont-Luthézieu,Auvergne-Rhône-Alpes,Ain
